offline_datapoint_27 1619213657 682278,000
offline_datapoint_21 1619213657 3261,000
offline_datapoint_12 1619213657 585277440,000
offline_datapoint_0 1619213657 360341504,000
offline_datapoint_19 1619213657 8259010560,000
offline_datapoint_25 1619213657 391151616,000
offline_datapoint_11 1619213657 2860,000
offline_datapoint_5 1619213655 85,691
offline_datapoint_24 1619213655 1898,199
offline_datapoint_7 1619213657 391151616,000
offline_datapoint_17 1619213655 15,671
offline_datapoint_6 1619213657 5726294016,000
offline_datapoint_23 1619213657 7330328576,000
offline_datapoint_22 1619213655 0,391
offline_datapoint_28 1619213655 21,451
offline_datapoint_10 1619213655 10,291
offline_datapoint_29 1619213655 7415,745
offline_datapoint_4 1619213657 1,000
offline_datapoint_16 1619213655 12920,620
offline_datapoint_2 1619213655 839,569
offline_datapoint_14 1619213655 2,033
offline_datapoint_3 1619213655 13,670
offline_datapoint_26 1619213655 92,888
offline_datapoint_15 1619213655 0,000
offline_datapoint_8 1619213655 80421,463
offline_datapoint_20 1619213655 0,020
offline_datapoint_27 1619213660 682278,000
offline_datapoint_21 1619213660 3289,000
offline_datapoint_12 1619213660 585736192,000
offline_datapoint_0 1619213660 359366656,000
offline_datapoint_19 1619213660 8305070080,000
offline_datapoint_25 1619213660 391565312,000
offline_datapoint_11 1619213660 2834,000
offline_datapoint_5 1619213658 4,332
offline_datapoint_24 1619213658 19351,865
offline_datapoint_7 1619213660 391565312,000
offline_datapoint_17 1619213658 1,999
offline_datapoint_6 1619213660 5768593408,000
offline_datapoint_23 1619213660 7383093248,000
offline_datapoint_22 1619213658 0,130
offline_datapoint_28 1619213658 32,055
offline_datapoint_10 1619213658 17,702
offline_datapoint_29 1619213658 8545,066
offline_datapoint_4 1619213660 0,000
offline_datapoint_16 1619213658 13271,145
offline_datapoint_2 1619213658 1508,266
offline_datapoint_14 1619213658 11,929
offline_datapoint_3 1619213658 104,306
offline_datapoint_26 1619213658 78,989
offline_datapoint_15 1619213658 0,333
offline_datapoint_8 1619213658 13662,058
offline_datapoint_20 1619213658 0,119
offline_datapoint_27 1619213663 682278,000
offline_datapoint_21 1619213663 3278,000
offline_datapoint_12 1619213663 585736192,000
offline_datapoint_0 1619213663 359485440,000
offline_datapoint_19 1619213663 8307888128,000
offline_datapoint_25 1619213663 391213056,000
offline_datapoint_11 1619213663 2819,000
offline_datapoint_5 1619213661 0,000
offline_datapoint_24 1619213661 2083,332
offline_datapoint_7 1619213663 391213056,000
offline_datapoint_17 1619213661 0,000
offline_datapoint_6 1619213663 5771542528,000
offline_datapoint_23 1619213663 7387516928,000
offline_datapoint_22 1619213661 0,130
offline_datapoint_28 1619213661 15,601
offline_datapoint_10 1619213661 7,815
offline_datapoint_29 1619213661 7235,646
offline_datapoint_4 1619213663 1,000
offline_datapoint_16 1619213661 12588,690
