708 1619213657 0,200497 0,200000 0,200497 0,200497 0,008040
711 1619213657 0,000833 0,200000 0,000833 0,000833 0,000000
708 1619213658 0,200497 0,200000 0,200497 0,200497 0,008040
711 1619213658 0,000833 0,200000 0,000833 0,000833 0,000000
708 1619213659 0,200497 0,200000 0,200497 0,200497 0,008040
711 1619213659 0,000833 0,200000 0,000833 0,000833 0,000000
708 1619213660 0,200497 0,200000 0,200497 0,200497 0,008040
711 1619213660 0,000833 0,200000 0,000833 0,000833 0,000000
708 1619213661 0,200497 0,200000 0,200497 0,200497 0,008040
711 1619213661 0,000833 0,200000 0,000833 0,000833 0,000000
714 1619213662 0,219329 0,200000 0,219329 0,219329 0,009621
717 1619213662 0,173106 0,200000 0,173106 0,173106 0,005993
714 1619213663 0,219329 0,200000 0,219329 0,219329 0,009621
717 1619213663 0,173106 0,200000 0,173106 0,173106 0,005993
714 1619213664 0,219329 0,200000 0,219329 0,219329 0,009621
717 1619213664 0,173106 0,200000 0,173106 0,173106 0,005993
714 1619213665 0,219329 0,200000 0,219329 0,219329 0,009621
717 1619213665 0,173106 0,200000 0,173106 0,173106 0,005993
714 1619213666 0,219329 0,200000 0,219329 0,219329 0,009621
717 1619213666 0,173106 0,200000 0,173106 0,173106 0,005993
708 1619213667 0,154274 0,200000 0,154274 0,154274 0,004760
711 1619213667 0,000431 0,200000 0,000431 0,000431 0,000000
708 1619213668 0,154274 0,200000 0,154274 0,154274 0,004760
711 1619213668 0,000431 0,200000 0,000431 0,000431 0,000000
708 1619213669 0,154274 0,200000 0,154274 0,154274 0,004760
711 1619213669 0,000431 0,200000 0,000431 0,000431 0,000000
708 1619213670 0,154274 0,200000 0,154274 0,154274 0,004760
711 1619213670 0,000431 0,200000 0,000431 0,000431 0,000000
708 1619213671 0,154274 0,200000 0,154274 0,154274 0,004760
711 1619213671 0,000431 0,200000 0,000431 0,000431 0,000000
714 1619213672 0,223167 0,200000 0,223167 0,223167 0,009961
717 1619213672 0,177358 0,200000 0,177358 0,177358 0,006291
738 1619213672 0,137921 0,200000 0,137921 0,137921 0,003804
735 1619213672 0,132995 0,200000 0,132995 0,132995 0,003538
714 1619213673 0,223167 0,200000 0,223167 0,223167 0,009961
717 1619213673 0,177358 0,200000 0,177358 0,177358 0,006291
738 1619213673 0,137921 0,200000 0,137921 0,137921 0,003804
735 1619213673 0,132995 0,200000 0,132995 0,132995 0,003538
714 1619213674 0,223167 0,200000 0,223167 0,223167 0,009961
717 1619213674 0,177358 0,200000 0,177358 0,177358 0,006291
738 1619213674 0,137921 0,200000 0,137921 0,137921 0,003804
735 1619213674 0,132995 0,200000 0,132995 0,132995 0,003538
714 1619213675 0,223167 0,200000 0,223167 0,223167 0,009961
717 1619213675 0,177358 0,200000 0,177358 0,177358 0,006291
738 1619213675 0,137921 0,200000 0,137921 0,137921 0,003804
735 1619213675 0,132995 0,200000 0,132995 0,132995 0,003538
714 1619213676 0,223167 0,200000 0,223167 0,223167 0,009961
717 1619213676 0,177358 0,200000 0,177358 0,177358 0,006291
738 1619213676 0,137921 0,200000 0,137921 0,137921 0,003804
735 1619213676 0,132995 0,200000 0,132995 0,132995 0,003538
708 1619213677 0,146607 0,200000 0,146607 0,146607 0,004299
711 1619213677 0,000370 0,200000 0,000370 0,000370 0,000000
708 1619213678 0,146607 0,200000 0,146607 0,146607 0,004299
711 1619213678 0,000370 0,200000 0,000370 0,000370 0,000000
708 1619213679 0,146607 0,200000 0,146607 0,146607 0,004299
711 1619213679 0,000370 0,200000 0,000370 0,000370 0,000000
708 1619213680 0,146607 0,200000 0,146607 0,146607 0,004299
711 1619213680 0,000370 0,200000 0,000370 0,000370 0,000000
708 1619213681 0,146607 0,200000 0,146607 0,146607 0,004299
711 1619213681 0,000370 0,200000 0,000370 0,000370 0,000000
747 1619213682 18,483833 0,200000 18,483833 18,483833 68,330415
741 1619213682 0,521712 0,200000 0,521712 0,521712 0,054437
714 1619213682 0,193396 0,200000 0,193396 0,193396 0,007480
717 1619213682 0,171771 0,200000 0,171771 0,171771 0,005901
738 1619213682 0,143970 0,200000 0,143970 0,143970 0,004145
750 1619213682 0,133748 0,200000 0,133748 0,133748 0,003578
735 1619213682 0,116110 0,200000 0,116110 0,116110 0,002696
744 1619213682 18,484062 0,200000 18,484062 18,484062 68,332108
714 1619213683 0,193396 0,200000 0,193396 0,193396 0,007480
735 1619213683 0,116110 0,200000 0,116110 0,116110 0,002696
738 1619213683 0,143970 0,200000 0,143970 0,143970 0,004145
717 1619213683 0,171771 0,200000 0,171771 0,171771 0,005901
747 1619213683 18,483833 0,200000 18,483833 18,483833 68,330415
741 1619213683 0,521712 0,200000 0,521712 0,521712 0,054437
750 1619213683 0,133748 0,200000 0,133748 0,133748 0,003578
744 1619213683 18,484062 0,200000 18,484062 18,484062 68,332108
747 1619213684 18,483833 0,200000 18,483833 18,483833 68,330415
741 1619213684 0,521712 0,200000 0,521712 0,521712 0,054437
714 1619213684 0,193396 0,200000 0,193396 0,193396 0,007480
717 1619213684 0,171771 0,200000 0,171771 0,171771 0,005901
738 1619213684 0,143970 0,200000 0,143970 0,143970 0,004145
750 1619213684 0,133748 0,200000 0,133748 0,133748 0,003578
735 1619213684 0,116110 0,200000 0,116110 0,116110 0,002696
744 1619213684 18,484062 0,200000 18,484062 18,484062 68,332108
747 1619213685 18,483833 0,200000 18,483833 18,483833 68,330415
741 1619213685 0,521712 0,200000 0,521712 0,521712 0,054437
714 1619213685 0,193396 0,200000 0,193396 0,193396 0,007480
717 1619213685 0,171771 0,200000 0,171771 0,171771 0,005901
738 1619213685 0,143970 0,200000 0,143970 0,143970 0,004145
750 1619213685 0,133748 0,200000 0,133748 0,133748 0,003578
735 1619213685 0,116110 0,200000 0,116110 0,116110 0,002696
744 1619213685 18,484062 0,200000 18,484062 18,484062 68,332108
747 1619213686 18,483833 0,200000 18,483833 18,483833 68,330415
741 1619213686 0,521712 0,200000 0,521712 0,521712 0,054437
714 1619213686 0,193396 0,200000 0,193396 0,193396 0,007480
717 1619213686 0,171771 0,200000 0,171771 0,171771 0,005901
738 1619213686 0,143970 0,200000 0,143970 0,143970 0,004145
750 1619213686 0,133748 0,200000 0,133748 0,133748 0,003578
735 1619213686 0,116110 0,200000 0,116110 0,116110 0,002696
744 1619213686 18,484062 0,200000 18,484062 18,484062 68,332108
708 1619213687 0,156876 0,200000 0,156876 0,156876 0,004922
708 1619213688 0,156876 0,200000 0,156876 0,156876 0,004922
711 1619213687 0,000493 0,200000 0,000493 0,000493 0,000000
711 1619213688 0,000493 0,200000 0,000493 0,000493 0,000000
708 1619213689 0,156876 0,200000 0,156876 0,156876 0,004922
711 1619213689 0,000493 0,200000 0,000493 0,000493 0,000000
708 1619213690 0,156876 0,200000 0,156876 0,156876 0,004922
711 1619213690 0,000493 0,200000 0,000493 0,000493 0,000000
708 1619213691 0,156876 0,200000 0,156876 0,156876 0,004922
711 1619213691 0,000493 0,200000 0,000493 0,000493 0,000000
714 1619213692 0,164749 0,200000 0,164749 0,164749 0,005428
717 1619213692 0,175265 0,200000 0,175265 0,175265 0,006144
738 1619213692 0,133129 0,200000 0,133129 0,133129 0,003545
735 1619213692 0,122581 0,200000 0,122581 0,122581 0,003005
714 1619213693 0,164749 0,200000 0,164749 0,164749 0,005428
717 1619213693 0,175265 0,200000 0,175265 0,175265 0,006144
738 1619213693 0,133129 0,200000 0,133129 0,133129 0,003545
735 1619213693 0,122581 0,200000 0,122581 0,122581 0,003005
714 1619213694 0,164749 0,200000 0,164749 0,164749 0,005428
717 1619213694 0,175265 0,200000 0,175265 0,175265 0,006144
738 1619213694 0,133129 0,200000 0,133129 0,133129 0,003545
735 1619213694 0,122581 0,200000 0,122581 0,122581 0,003005
714 1619213695 0,164749 0,200000 0,164749 0,164749 0,005428
717 1619213695 0,175265 0,200000 0,175265 0,175265 0,006144
738 1619213695 0,133129 0,200000 0,133129 0,133129 0,003545
735 1619213695 0,122581 0,200000 0,122581 0,122581 0,003005
714 1619213696 0,164749 0,200000 0,164749 0,164749 0,005428
717 1619213696 0,175265 0,200000 0,175265 0,175265 0,006144
738 1619213696 0,133129 0,200000 0,133129 0,133129 0,003545
735 1619213696 0,122581 0,200000 0,122581 0,122581 0,003005
708 1619213697 0,166272 0,200000 0,166272 0,166272 0,005529
753 1619213697 39,246623 0,200000 39,246623 39,246623 308,059477
756 1619213697 0,157559 0,200000 0,157559 0,157559 0,004965
711 1619213697 0,001422 0,200000 0,001422 0,001422 0,000000
750 1619213697 0,188114 0,200000 0,188114 0,188114 0,007077
744 1619213697 39,246833 0,200000 39,246833 39,246833 308,062774
708 1619213698 0,166272 0,200000 0,166272 0,166272 0,005529
753 1619213698 39,246623 0,200000 39,246623 39,246623 308,059477
756 1619213698 0,157559 0,200000 0,157559 0,157559 0,004965
711 1619213698 0,001422 0,200000 0,001422 0,001422 0,000000
750 1619213698 0,188114 0,200000 0,188114 0,188114 0,007077
744 1619213698 39,246833 0,200000 39,246833 39,246833 308,062774
708 1619213699 0,166272 0,200000 0,166272 0,166272 0,005529
753 1619213699 39,246623 0,200000 39,246623 39,246623 308,059477
756 1619213699 0,157559 0,200000 0,157559 0,157559 0,004965
711 1619213699 0,001422 0,200000 0,001422 0,001422 0,000000
750 1619213699 0,188114 0,200000 0,188114 0,188114 0,007077
744 1619213699 39,246833 0,200000 39,246833 39,246833 308,062774
708 1619213700 0,166272 0,200000 0,166272 0,166272 0,005529
753 1619213700 39,246623 0,200000 39,246623 39,246623 308,059477
756 1619213700 0,157559 0,200000 0,157559 0,157559 0,004965
711 1619213700 0,001422 0,200000 0,001422 0,001422 0,000000
750 1619213700 0,188114 0,200000 0,188114 0,188114 0,007077
744 1619213700 39,246833 0,200000 39,246833 39,246833 308,062774
708 1619213701 0,166272 0,200000 0,166272 0,166272 0,005529
753 1619213701 39,246623 0,200000 39,246623 39,246623 308,059477
756 1619213701 0,157559 0,200000 0,157559 0,157559 0,004965
711 1619213701 0,001422 0,200000 0,001422 0,001422 0,000000
750 1619213701 0,188114 0,200000 0,188114 0,188114 0,007077
744 1619213701 39,246833 0,200000 39,246833 39,246833 308,062774
714 1619213702 0,200992 0,200000 0,200992 0,200992 0,008080
717 1619213702 0,171816 0,200000 0,171816 0,171816 0,005904
735 1619213702 0,112444 0,200000 0,112444 0,112444 0,002529
759 1619213702 17,621307 0,200000 17,621307 17,621307 62,102095
744 1619213702 17,621490 0,200000 17,621490 17,621490 62,103384
714 1619213703 0,200992 0,200000 0,200992 0,200992 0,008080
717 1619213703 0,171816 0,200000 0,171816 0,171816 0,005904
735 1619213703 0,112444 0,200000 0,112444 0,112444 0,002529
759 1619213703 17,621307 0,200000 17,621307 17,621307 62,102095
744 1619213703 17,621490 0,200000 17,621490 17,621490 62,103384
714 1619213704 0,200992 0,200000 0,200992 0,200992 0,008080
