975 1619224120 0,155454 0,200000 0,155454 0,155454 0,004833
978 1619224120 0,000470 0,200000 0,000470 0,000470 0,000000
975 1619224121 0,155454 0,200000 0,155454 0,155454 0,004833
978 1619224121 0,000470 0,200000 0,000470 0,000470 0,000000
975 1619224122 0,155454 0,200000 0,155454 0,155454 0,004833
978 1619224122 0,000470 0,200000 0,000470 0,000470 0,000000
975 1619224123 0,155454 0,200000 0,155454 0,155454 0,004833
978 1619224123 0,000470 0,200000 0,000470 0,000470 0,000000
975 1619224124 0,155454 0,200000 0,155454 0,155454 0,004833
978 1619224124 0,000470 0,200000 0,000470 0,000470 0,000000
981 1619224125 0,236902 0,200000 0,236902 0,236902 0,011225
984 1619224125 0,169490 0,200000 0,169490 0,169490 0,005745
981 1619224126 0,236902 0,200000 0,236902 0,236902 0,011225
984 1619224126 0,169490 0,200000 0,169490 0,169490 0,005745
981 1619224127 0,236902 0,200000 0,236902 0,236902 0,011225
984 1619224127 0,169490 0,200000 0,169490 0,169490 0,005745
981 1619224128 0,236902 0,200000 0,236902 0,236902 0,011225
984 1619224128 0,169490 0,200000 0,169490 0,169490 0,005745
981 1619224129 0,236902 0,200000 0,236902 0,236902 0,011225
984 1619224129 0,169490 0,200000 0,169490 0,169490 0,005745
1005 1619224135 0,133425 0,200000 0,133425 0,133425 0,003560
1002 1619224135 0,088090 0,200000 0,088090 0,088090 0,001552
1005 1619224136 0,133425 0,200000 0,133425 0,133425 0,003560
1002 1619224136 0,088090 0,200000 0,088090 0,088090 0,001552
1002 1619224137 0,088090 0,200000 0,088090 0,088090 0,001552
1005 1619224137 0,133425 0,200000 0,133425 0,133425 0,003560
1005 1619224138 0,133425 0,200000 0,133425 0,133425 0,003560
1002 1619224138 0,088090 0,200000 0,088090 0,088090 0,001552
1005 1619224139 0,133425 0,200000 0,133425 0,133425 0,003560
1002 1619224139 0,088090 0,200000 0,088090 0,088090 0,001552
975 1619224150 0,156063 0,200000 0,156063 0,156063 0,004871
978 1619224150 0,000412 0,200000 0,000412 0,000412 0,000000
975 1619224151 0,156063 0,200000 0,156063 0,156063 0,004871
978 1619224151 0,000412 0,200000 0,000412 0,000412 0,000000
975 1619224152 0,156063 0,200000 0,156063 0,156063 0,004871
978 1619224152 0,000412 0,200000 0,000412 0,000412 0,000000
975 1619224153 0,156063 0,200000 0,156063 0,156063 0,004871
978 1619224153 0,000412 0,200000 0,000412 0,000412 0,000000
975 1619224154 0,156063 0,200000 0,156063 0,156063 0,004871
978 1619224154 0,000412 0,200000 0,000412 0,000412 0,000000
981 1619224155 0,256118 0,200000 0,256118 0,256118 0,013119
984 1619224155 0,215847 0,200000 0,215847 0,215847 0,009318
981 1619224156 0,256118 0,200000 0,256118 0,256118 0,013119
984 1619224156 0,215847 0,200000 0,215847 0,215847 0,009318
981 1619224157 0,256118 0,200000 0,256118 0,256118 0,013119
984 1619224157 0,215847 0,200000 0,215847 0,215847 0,009318
981 1619224158 0,256118 0,200000 0,256118 0,256118 0,013119
984 1619224158 0,215847 0,200000 0,215847 0,215847 0,009318
981 1619224159 0,256118 0,200000 0,256118 0,256118 0,013119
984 1619224159 0,215847 0,200000 0,215847 0,215847 0,009318
1008 1619224160 39,105632 0,200000 39,105632 39,105632 305,850096
1014 1619224160 0,130713 0,200000 0,130713 0,130713 0,003417
1017 1619224160 0,173279 0,200000 0,173279 0,173279 0,006005
1011 1619224160 39,105740 0,200000 39,105740 39,105740 305,851774
1008 1619224161 39,105632 0,200000 39,105632 39,105632 305,850096
1014 1619224161 0,130713 0,200000 0,130713 0,130713 0,003417
1017 1619224161 0,173279 0,200000 0,173279 0,173279 0,006005
1011 1619224161 39,105740 0,200000 39,105740 39,105740 305,851774
1008 1619224162 39,105632 0,200000 39,105632 39,105632 305,850096
1011 1619224162 39,105740 0,200000 39,105740 39,105740 305,851774
1014 1619224162 0,130713 0,200000 0,130713 0,130713 0,003417
1017 1619224162 0,173279 0,200000 0,173279 0,173279 0,006005
1008 1619224163 39,105632 0,200000 39,105632 39,105632 305,850096
1014 1619224163 0,130713 0,200000 0,130713 0,130713 0,003417
1017 1619224163 0,173279 0,200000 0,173279 0,173279 0,006005
1011 1619224163 39,105740 0,200000 39,105740 39,105740 305,851774
1008 1619224164 39,105632 0,200000 39,105632 39,105632 305,850096
1014 1619224164 0,130713 0,200000 0,130713 0,130713 0,003417
1017 1619224164 0,173279 0,200000 0,173279 0,173279 0,006005
1011 1619224164 39,105740 0,200000 39,105740 39,105740 305,851774
1020 1619224165 0,504994 0,200000 0,504994 0,504994 0,051004
1005 1619224165 0,171761 0,200000 0,171761 0,171761 0,005900
1002 1619224165 0,178881 0,200000 0,178881 0,178881 0,006400
1020 1619224166 0,504994 0,200000 0,504994 0,504994 0,051004
1005 1619224166 0,171761 0,200000 0,171761 0,171761 0,005900
1002 1619224166 0,178881 0,200000 0,178881 0,178881 0,006400
1002 1619224167 0,178881 0,200000 0,178881 0,178881 0,006400
1020 1619224167 0,504994 0,200000 0,504994 0,504994 0,051004
1005 1619224167 0,171761 0,200000 0,171761 0,171761 0,005900
1020 1619224168 0,504994 0,200000 0,504994 0,504994 0,051004
1020 1619224169 0,504994 0,200000 0,504994 0,504994 0,051004
1005 1619224168 0,171761 0,200000 0,171761 0,171761 0,005900
1005 1619224169 0,171761 0,200000 0,171761 0,171761 0,005900
1002 1619224168 0,178881 0,200000 0,178881 0,178881 0,006400
1002 1619224169 0,178881 0,200000 0,178881 0,178881 0,006400
1023 1619224170 18,627542 0,200000 18,627542 18,627542 69,397063
1017 1619224170 0,132891 0,200000 0,132891 0,132891 0,003532
