1047 1619224840 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619224841 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619224842 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619224843 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619224844 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619224840 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619224841 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619224842 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619224843 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619224844 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619224840 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619224841 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619224842 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619224843 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619224844 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225194 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225193 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225192 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225191 0,200000 -1,000000 0,200000 0,200000 0,008000
1050 1619225190 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225194 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225193 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225192 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225191 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225190 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225194 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225193 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225192 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225191 0,200000 -1,000000 0,200000 0,200000 0,008000
1052 1619225190 0,200000 -1,000000 0,200000 0,200000 0,008000
1047 1619225190 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225191 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225192 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225193 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225194 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225190 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225191 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225192 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225193 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225194 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225190 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225191 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225192 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225193 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225194 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225430 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225431 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225432 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225433 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225434 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225430 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225431 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225432 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225433 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225434 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225430 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225431 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225432 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225433 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225434 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225535 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225536 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225537 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225538 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225539 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225535 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225536 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225537 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225538 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225539 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225535 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225536 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225537 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225538 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225539 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225730 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225731 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225732 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225733 0,200000 -1,000000 -101,000000 0,000000 0,000000
1047 1619225734 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225730 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225731 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225732 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225733 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225734 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225730 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225731 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225732 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225733 0,200000 -1,000000 -101,000000 0,000000 0,000000
1052 1619225734 0,200000 -1,000000 -101,000000 0,000000 0,000000
1050 1619225824 0,200000 -1,000000 0,200000 0,200000 0,008000
