offline_datapoint_2 1619224122 680542,000
offline_datapoint_26 1619224122 2918,000
offline_datapoint_17 1619224122 570486784,000
offline_datapoint_5 1619224122 355598336,000
offline_datapoint_24 1619224122 6454919168,000
offline_datapoint_0 1619224122 329515008,000
offline_datapoint_16 1619224122 3665,000
offline_datapoint_10 1619224120 143,367
offline_datapoint_29 1619224120 7264,368
offline_datapoint_12 1619224122 329515008,000
offline_datapoint_22 1619224120 26,673
offline_datapoint_11 1619224122 4462682112,000
offline_datapoint_28 1619224122 5756325888,000
offline_datapoint_27 1619224120 0,130
offline_datapoint_3 1619224120 20,692
offline_datapoint_15 1619224120 11,330
offline_datapoint_4 1619224120 6326,482
offline_datapoint_9 1619224122 0,000
offline_datapoint_21 1619224120 8462,982
offline_datapoint_7 1619224120 1381,657
offline_datapoint_19 1619224120 11,655
offline_datapoint_8 1619224120 20,338
offline_datapoint_1 1619224120 88,744
offline_datapoint_20 1619224120 0,000
offline_datapoint_13 1619224120 41765,770
offline_datapoint_25 1619224120 0,117
offline_datapoint_2 1619224125 680542,000
offline_datapoint_26 1619224125 2920,000
offline_datapoint_17 1619224125 570486784,000
offline_datapoint_5 1619224125 353628160,000
offline_datapoint_24 1619224125 6453329920,000
offline_datapoint_0 1619224125 329342976,000
offline_datapoint_16 1619224125 3657,000
offline_datapoint_10 1619224123 17,000
offline_datapoint_29 1619224123 207,666
offline_datapoint_12 1619224125 329342976,000
offline_datapoint_22 1619224123 2,000
offline_datapoint_11 1619224125 4462792704,000
offline_datapoint_28 1619224125 5756747776,000
offline_datapoint_27 1619224123 0,260
offline_datapoint_3 1619224123 9,503
offline_datapoint_15 1619224123 5,599
offline_datapoint_4 1619224123 3810,988
offline_datapoint_9 1619224125 0,000
offline_datapoint_21 1619224123 5628,983
offline_datapoint_7 1619224123 392,999
offline_datapoint_19 1619224123 1,943
offline_datapoint_8 1619224123 27,000
offline_datapoint_1 1619224123 91,075
offline_datapoint_20 1619224123 2,000
offline_datapoint_13 1619224123 9102,222
offline_datapoint_25 1619224123 0,019
offline_datapoint_2 1619224128 680542,000
offline_datapoint_26 1619224128 2917,000
offline_datapoint_17 1619224128 570486784,000
offline_datapoint_5 1619224128 353886208,000
offline_datapoint_24 1619224128 6453329920,000
offline_datapoint_0 1619224128 329412608,000
offline_datapoint_16 1619224128 3657,000
offline_datapoint_10 1619224126 0,333
offline_datapoint_29 1619224126 81,999
offline_datapoint_12 1619224128 329412608,000
offline_datapoint_22 1619224126 0,333
offline_datapoint_11 1619224128 4462575616,000
offline_datapoint_28 1619224128 5756592128,000
offline_datapoint_27 1619224126 0,000
offline_datapoint_3 1619224126 5,743
offline_datapoint_15 1619224126 2,604
offline_datapoint_4 1619224126 3466,616
offline_datapoint_9 1619224128 0,000
offline_datapoint_21 1619224126 4981,593
offline_datapoint_7 1619224126 339,328
offline_datapoint_19 1619224126 0,470
offline_datapoint_8 1619224126 10,000
offline_datapoint_1 1619224126 89,921
offline_datapoint_20 1619224126 1,000
offline_datapoint_13 1619224126 11195,733
offline_datapoint_25 1619224126 0,005
offline_datapoint_2 1619224131 680542,000
offline_datapoint_26 1619224131 2920,000
offline_datapoint_17 1619224131 570499072,000
offline_datapoint_5 1619224131 354177024,000
offline_datapoint_24 1619224131 6452248576,000
offline_datapoint_0 1619224131 329547776,000
offline_datapoint_16 1619224131 3654,000
offline_datapoint_10 1619224129 0,333
offline_datapoint_29 1619224129 5117,462
offline_datapoint_12 1619224131 329551872,000
offline_datapoint_22 1619224129 0,333
offline_datapoint_11 1619224131 4460675072,000
offline_datapoint_28 1619224131 5756604416,000
offline_datapoint_27 1619224129 0,000
offline_datapoint_3 1619224129 10,694
offline_datapoint_15 1619224129 5,077
offline_datapoint_4 1619224129 3980,582
offline_datapoint_9 1619224131 0,000
offline_datapoint_21 1619224129 5473,091
offline_datapoint_7 1619224129 1021,893
offline_datapoint_19 1619224129 0,303
offline_datapoint_8 1619224129 9,999
offline_datapoint_1 1619224129 95,422
offline_datapoint_20 1619224129 1,333
offline_datapoint_13 1619224129 12288,000
offline_datapoint_25 1619224129 0,003
offline_datapoint_2 1619224134 680542,000
offline_datapoint_26 1619224134 2913,000
offline_datapoint_17 1619224134 570499072,000
offline_datapoint_5 1619224134 354177024,000
offline_datapoint_24 1619224134 6451937280,000
offline_datapoint_0 1619224134 329568256,000
offline_datapoint_16 1619224134 3654,000
offline_datapoint_10 1619224132 0,000
offline_datapoint_29 1619224132 245,372
offline_datapoint_12 1619224134 329568256,000
offline_datapoint_22 1619224132 0,000
offline_datapoint_11 1619224134 4460138496,000
offline_datapoint_28 1619224134 5756403712,000
offline_datapoint_27 1619224132 0,391
offline_datapoint_3 1619224132 3,874
offline_datapoint_15 1619224132 2,084
offline_datapoint_4 1619224132 3275,514
offline_datapoint_9 1619224134 0,000
offline_datapoint_21 1619224132 4854,428
offline_datapoint_7 1619224132 515,414
offline_datapoint_19 1619224132 0,144
offline_datapoint_8 1619224132 3,000
offline_datapoint_1 1619224132 97,399
offline_datapoint_20 1619224132 1,000
offline_datapoint_13 1619224132 11377,778
offline_datapoint_25 1619224132 0,001
offline_datapoint_2 1619224137 680542,000
offline_datapoint_26 1619224137 2907,000
offline_datapoint_17 1619224137 570499072,000
offline_datapoint_5 1619224137 354222080,000
offline_datapoint_24 1619224137 6451212288,000
offline_datapoint_0 1619224137 329797632,000
offline_datapoint_16 1619224137 3655,000
offline_datapoint_10 1619224135 5,337
offline_datapoint_29 1619224135 1377,862
offline_datapoint_12 1619224137 329797632,000
offline_datapoint_22 1619224135 0,334
offline_datapoint_11 1619224137 4459892736,000
offline_datapoint_28 1619224137 5756952576,000
offline_datapoint_27 1619224135 0,391
offline_datapoint_3 1619224135 6,725
offline_datapoint_15 1619224135 2,996
offline_datapoint_4 1619224135 4005,840
offline_datapoint_9 1619224137 0,000
offline_datapoint_21 1619224135 5719,579
offline_datapoint_7 1619224135 1279,134
offline_datapoint_19 1619224135 8,272
offline_datapoint_8 1619224135 37,690
offline_datapoint_1 1619224135 74,166
offline_datapoint_20 1619224135 2,335
